ID,LAT,LON,SOILID,StationID,soilcspin,isimveg,isimfire,irrigate,P1,plating day,start year,cycle length,cycles,params
sim10679,-21.75,-47.75,CELATOFRN2,,1,1,0,0,eucalipto,263,2000,2489,1,eucalipto1
sim16922,-21.25,-47.75,CELATOFRN2,,1,1,0,0,eucalipto,23,2001,2746,1,eucalipto1
sim16925,-21.75,-47.75,CELATOFRN3,,1,1,0,0,eucalipto,23,2001,2746,1,eucalipto1
sim17023,-22.25,-46.75,CEARGIMAG3,,1,1,0,0,eucalipto,112,2001,2579,1,eucalipto1
sim17024,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,110,2001,2581,1,eucalipto1
sim17027,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,114,2001,2577,1,eucalipto1
sim17262,-21.75,-47.75,CELATOFRN3,,1,1,0,0,eucalipto,151,2001,2618,1,eucalipto1
sim17263,-21.75,-47.75,CELATOFRN3,,1,1,0,0,eucalipto,140,2001,2629,1,eucalipto1
sim17264,-21.75,-47.75,CELATOFRN3,,1,1,0,0,eucalipto,161,2001,2608,1,eucalipto1
sim17265,-21.75,-47.75,CELATOFRN3,,1,1,0,0,eucalipto,143,2001,2626,1,eucalipto1
sim17267,-21.75,-47.75,CELATOFRN3,,1,1,0,0,eucalipto,163,2001,2606,1,eucalipto1
sim17268,-21.75,-47.75,CELATOFRN3,,1,1,0,0,eucalipto,184,2001,2585,1,eucalipto1
sim17322,-21.75,-47.75,CELATOFRN3,,1,1,0,0,eucalipto,184,2001,2585,1,eucalipto1
sim17562,-22.25,-46.75,CELATOMAG2,,1,1,0,0,eucalipto,226,2001,1875,1,eucalipto1
sim17862,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,212,2001,2526,1,eucalipto1
sim17863,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,268,2001,2470,1,eucalipto1
